"name","code","ingornot"
"동성화인텍",33500,"ing"
"파라텍",33540,"ing"
"블루콤",33560,"ing"
"에이코넬",33600,"ing"
"네패스",33640,"ing"
"스카이문스테크놀로지",33790,"ing"
"티비씨",33830,"ing"
"파라다이스",34230,"ing"
"해성산업",34810,"ing"
"조아제약",34940,"ing"
"한국기업평가",34950,"ing"
"인터파크홀딩스",35080,"ing"
"프럼파스트",35200,"ing"
"더블유에프엠",35290,"ing"
"기산텔레콤",35460,"ing"
"마제스타",35480,"stop"
"KG이니시스",35600,"ing"
"솔본",35610,"ing"
"바른손이앤에이",35620,"ing"
"CJ ENM",35760,"ing"
"이지바이오",35810,"ing"
"서희건설",35890,"ing"
"JYP Ent.",35900,"ing"
"예림당",36000,"ing"
"아비코전자",36010,"ing"
"KTH",36030,"ing"
"위지트",36090,"ing"
"SCI평가정보",36120,"ing"
"씨티젠",36170,"ing"
"영인프런티어",36180,"ing"
"금화피에스시",36190,"ing"
"유니셈",36200,"ing"
"이매진아시아",36260,"ing"
"제이콘텐트리",36420,"ing"
"대성미생물",36480,"ing"
"SK머티리얼즈",36490,"ing"
"SFA반도체",36540,"ing"
"영풍정밀",36560,"ing"
"버추얼텍",36620,"ing"
"세종텔레콤",36630,"ing"
"HRS",36640,"ing"
"KCI",36670,"ing"
"코맥스",36690,"ing"
"심텍홀딩스",36710,"ing"
"나이스정보통신",36800,"ing"
"에프에스티",36810,"ing"
"솔브레인",36830,"ing"
"진성티이씨",36890,"ing"
"주성엔지니어링",36930,"ing"
"파워넷",37030,"ing"
"파세코",37070,"ing"
"한국팩키지",37230,"ing"
"인지디스플레",37330,"ing"
"성도이엔지",37350,"ing"
"EG",37370,"ing"
"우리조명",37400,"ing"
"희림",37440,"ing"
"삼지전자",37460,"ing"
"쎄니트",37760,"ing"
"엘컴텍",37950,"ing"
"제일테크노스",38010,"ing"
"루멘스",38060,"ing"
"서린바이오",38070,"ing"
"에코플라스틱",38110,"ing"
"팍스넷",38160,"ing"
"마크로젠",38290,"ing"
"UCI",38340,"stop"
"레드캡투어",38390,"ing"
"바이오스마트",38460,"ing"
"삼표시멘트",38500,"ing"
"골드퍼시픽",38530,"ing"
"상상인",38540,"ing"
"위즈코프",38620,"ing"
"에스넷",38680,"ing"
"에코바이오",38870,"ing"
"아이에이",38880,"ing"
"파인디지털",38950,"ing"
"현대통신",39010,"ing"
"이건홀딩스",39020,"ing"
"이오테크닉스",39030,"ing"
"오스코텍",39200,"ing"
"에이아이비트",39230,"ing"
"경남스틸",39240,"ing"
"인포뱅크",39290,"ing"
"세중",39310,"ing"
"한국경제TV",39340,"ing"
"케이엘넷",39420,"ing"
"에스티아이",39440,"ing"
"다산네트웍스",39560,"ing"
"화성밸브",39610,"ing"
"스포츠서울",39670,"ing"
"한국정보공학",39740,"ing"
"오로라",39830,"ing"
"디오",39840,"ing"
"나노엔텍",39860,"ing"
"리노스",39980,"ing"
"누리텔레콤",40160,"ing"
"YTN",40300,"ing"
"큐로컴",40350,"ing"
"정상제이엘에스",40420,"ing"
"SG&G",40610,"ing"
"아이씨디",40910,"ing"
"인프라웨어",41020,"ing"
"넥슨지티",41140,"ing"
"우리기술투자",41190,"ing"
"에버다임",41440,"ing"
"한국전자인증",41460,"ing"
"에스엠",41510,"ing"
"이라이콤",41520,"ing"
"에너전트",41590,"ing"
"인바디",41830,"ing"
"에스텍파마",41910,"ing"
"메디아나",41920,"ing"
"동아화성",41930,"ing"
"코미팜",41960,"ing"
"카페24",42000,"ing"
"케이피엠테크",42040,"ing"
"에스씨디",42110,"ing"
"비츠로테크",42370,"ing"
"네오위즈홀딩스",42420,"ing"
"링네트",42500,"ing"
"라온시큐어",42510,"ing"
"한스바이오메드",42520,"ing"
"새로닉스",42600,"ing"
"상지카일룸",42940,"ing"
"팜스웰바이오",43090,"ing"
"솔고바이오",43100,"ing"
"바텍",43150,"ing"
"파루",43200,"ing"
"에이치엘비파워",43220,"ing"
"성호전자",43260,"ing"
"케이맥",43290,"ing"
"에쎈테크",43340,"ing"
"디지아이",43360,"ing"
"평화정공",43370,"ing"
"에임하이",43580,"ing"
"크로바하이텍",43590,"ing"
"지니뮤직",43610,"ing"
"국순당",43650,"ing"
"서울리거",43710,"ing"
"자연과환경",43910,"ing"
"조광ILI",44060,"ing"
"KD건설",44180,"ing"
"위닉스",44340,"ing"
"바이오제네틱스",44480,"ing"
"태웅",44490,"ing"
"에이치케이",44780,"ing"
"이글벳",44960,"ing"
"오공",45060,"ing"
"한양이엔지",45100,"ing"
"성우테크론",45300,"ing"
"토탈소프트",45340,"ing"
"대아티아이",45390,"ing"
"정원엔시스",45510,"ing"
"크린앤사이언스",45520,"ing"
"에이텍",45660,"ing"
"DB라이텍",45890,"ing"
"코아시아홀딩스",45970,"ing"
"코다코",46070,"ing"
"한일네트웍스",46110,"ing"
"오르비텍",46120,"ing"
"SBS콘텐츠허브",46140,"ing"
"파나진",46210,"ing"
"백금T&A",46310,"ing"
"삼화네트웍스",46390,"ing"
"KG모빌리언스",46440,"ing"
"서울반도체",46890,"ing"
"우원개발",46940,"ing"
"우리로",46970,"ing"
"한빛소프트",47080,"ing"
"파워로직스",47310,"ing"
"레이젠",47440,"stop"
