"name","code","ingornot"
"코스모신소재",5070,"ing"
"삼광글라스",5090,"ing"
"한창",5110,"ing"
"빙그레",5180,"ing"
"동성화학",5190,"ing"
"녹십자홀딩스",5250,"ing"
"롯데칠성음료",5300,"ing"
"국동",5320,"ing"
"모나미",5360,"ing"
"현대자동차",5380,"ing"
"신성통상",5390,"ing"
"코스모화학",5420,"ing"
"한국공항",5430,"ing"
"현대그린푸드",5440,"ing"
"신한",5450,"ing"
"포스코",5490,"ing"
"삼진제약",5500,"ing"
"SPC삼립",5610,"ing"
"삼영전자공업",5680,"ing"
"파미셀",5690,"ing"
"넥센",5720,"ing"
"크라운해태홀딩스",5740,"ing"
"대림비앤코",5750,"ing"
"신영와코루",5800,"ing"
"풍산홀딩스",5810,"ing"
"원림",5820,"ing"
"DB손해보험",5830,"ing"
"에스엘",5850,"ing"
"휴니드테크놀러지스",5870,"ing"
"대한해운",5880,"ing"
"삼성전자",5930,"ing"
"NH투자증권",5940,"ing"
"이수화학",5950,"ing"
"동부건설",5960,"ing"
"성지건설",5980,"stop"
"동원산업",6040,"ing"
"화승인더스트리",6060,"ing"
"사조오양",6090,"ing"
"삼아알미늄",6110,"ing"
"SK디스커버리",6120,"ing"
"한국전자홀딩스",6200,"ing"
"제주은행",6220,"ing"
"LS",6260,"ing"
"녹십자",6280,"ing"
"대원전선",6340,"ing"
"GS건설",6360,"ing"
"대구백화점",6370,"ing"
"카프로",6380,"ing"
"현대시멘트",6390,"ing"
"삼성SDI",6400,"ing"
"인스코비",6490,"ing"
"대림통상",6570,"ing"
"대한유화",6650,"ing"
"삼성공조",6660,"ing"
"영풍제지",6740,"ing"
"미래에셋대우",6800,"ing"
"AK홀딩스",6840,"ing"
"신송홀딩스",6880,"ing"
"태경화학",6890,"ing"
"우성사료",6980,"ing"
"GS리테일",7070,"ing"
"일신석재",7110,"ing"
"미래아이앤지",7120,"ing"
"사조산업",7160,"ing"
"벽산",7210,"ing"
"한국특수형강",7280,"ing"
"오뚜기",7310,"ing"
"디티알오토모티브",7340,"ing"
"에이프로젠 KIC",7460,"ing"
"샘표",7540,"ing"
"일양약품",7570,"ing"
"동방아그로",7590,"ing"
"선도전기",7610,"ing"
"폴루스바이오팜",7630,"ing"
"이수페타시스",7660,"ing"
"국도화학",7690,"ing"
"F&F",7700,"ing"
"코리아써키트",7810,"ing"
"서연",7860,"ing"
"태평양물산",7980,"ing"
"사조동아원",8040,"ing"
"대덕전자",8060,"ing"
"대동전자",8110,"ing"
"이건산업",8250,"ing"
"NI스틸",8260,"ing"
"남선알미늄",8350,"ing"
"문배철강",8420,"ing"
"서흥",8490,"ing"
"일정실업",8500,"ing"
"메리츠종금증권",8560,"ing"
"윌비스",8600,"ing"
"아남전자",8700,"ing"
"율촌화학",8730,"ing"
"호텔신라",8770,"ing"
"금비",8870,"ing"
"한미사이언스",8930,"ing"
"동양철관",8970,"ing"
"케이씨티시",9070,"ing"
"경인전자",9140,"ing"
"삼성전기",9150,"ing"
"SIMPAC",9160,"ing"
"한솔로지스틱스",9180,"ing"
"대양금속",9190,"ing"
"무림페이퍼",9200,"ing"
"한샘",9240,"ing"
"신원",9270,"ing"
"광동제약",9290,"ing"
"참엔지니어링",9310,"ing"
"대우부품",9320,"ing"
"태영건설",9410,"ing"
"한올바이오파마",9420,"ing"
"KC그린홀딩스",9440,"ing"
"경동나비엔",9450,"ing"
"한창제지",9460,"ing"
"삼화전기",9470,"ing"
"현대중공업",9540,"ing"
"무림P&P",9580,"ing"
"모토닉",9680,"ing"
"삼정펄프",9770,"ing"
"엔케이물산",9810,"ing"
"한화케미칼",9830,"ing"
"영원무역홀딩스",9970,"ing"
"한국내화",10040,"ing"
"우리종금",10050,"ing"
"OCI",10060,"ing"
"한국프랜지공업",10100,"ing"
"LS산전",10120,"ing"
"고려아연",10130,"ing"
"삼성중공업",10140,"ing"
"한솔피엔에스",10420,"ing"
"지코",10580,"ing"
"웰바이오텍",10600,"ing"
"현대미포조선",10620,"ing"
"진양폴리우레탄",10640,"ing"
"화천기계",10660,"ing"
"화신",10690,"ing"
"평화홀딩스",10770,"ing"
"아이에스동서",10780,"ing"
"퍼스텍",10820,"ing"
"S-Oil",10950,"ing"
"삼호개발",10960,"ing"
"진원생명과학",11000,"ing"
