Date,Open,High,Low,Close,Volume,Adj_Close
2018-12-20,2005,2010,2000,2000,594337,2000
2018-12-21,2005,2010,2000,2005,42368,2005
2018-12-24,2005,2030,2005,2025,95959,2025
2018-12-26,2020,2030,2015,2020,41115,2020
2018-12-27,2020,2025,2020,2025,2522,2025
2018-12-28,2035,2035,2010,2010,4003,2010
2019-01-02,2015,2020,2010,2010,6872,2010
2019-01-03,2010,2020,2010,2020,22001,2020
2019-01-07,2020,2020,2020,2020,1014,2020
2019-01-08,2020,2020,2020,2020,280,2020
2019-01-09,2015,2025,2015,2025,3403,2025
2019-01-10,2020,2020,2015,2020,14642,2020
2019-01-11,2015,2025,2010,2015,84470,2015
2019-01-14,2010,2015,2005,2015,30918,2015
2019-01-16,2015,2015,2015,2015,1712,2015
2019-01-18,2020,2020,2005,2020,43062,2020
2019-01-21,2020,2020,2020,2020,80,2020
2019-01-23,2020,2020,2020,2020,12126,2020
2019-01-25,2015,2025,2015,2020,149,2020
2019-01-28,2020,2020,2020,2020,7885,2020
2019-01-29,2020,2025,2020,2025,59,2025
2019-01-30,2015,2025,2015,2025,9,2025
2019-01-31,2025,2025,2020,2025,11212,2025
2019-02-01,2025,2030,2025,2030,25675,2030
2019-02-08,2030,2030,2030,2030,492,2030
2019-02-11,2020,2020,2020,2020,10,2020
2019-02-12,2030,2030,2020,2025,555,2025
2019-02-13,2025,2025,2025,2025,492,2025
2019-02-14,2030,2030,2020,2030,5399,2030
2019-02-15,2030,2030,2030,2030,3000,2030
2019-02-18,2015,2020,2015,2020,5515,2020
2019-02-19,2015,2020,2015,2020,44284,2020
2019-02-20,2020,2020,2015,2015,52516,2015
2019-02-21,2010,2015,2010,2015,12152,2015
2019-02-22,2025,2025,2010,2015,20001,2015
2019-02-26,2015,2025,2010,2010,88724,2010
2019-02-27,2025,2025,2015,2025,162,2025
2019-03-04,2025,2025,2010,2025,2103,2025
2019-03-05,2025,2025,2025,2025,501,2025
2019-03-06,2015,2020,2015,2015,5708,2015
2019-03-07,2015,2015,2015,2015,3691,2015
2019-03-08,2020,2020,2020,2020,3691,2020
2019-03-11,2025,2025,2025,2025,15387,2025
2019-03-12,2025,2025,2015,2025,43614,2025
2019-03-13,2030,2030,2025,2030,2831,2030
2019-03-14,2030,2030,2030,2030,111,2030
2019-03-15,2030,2030,2020,2020,12319,2020
2019-03-18,2030,2030,2030,2030,13,2030
2019-03-19,2030,2030,2030,2030,17284,2030
2019-03-20,2030,2035,2025,2025,10027,2025
2019-03-21,2035,2035,2035,2035,5000,2035
2019-03-22,2025,2035,2025,2035,600,2035
2019-03-25,2035,2035,2035,2035,7,2035
2019-03-26,2040,2040,2040,2040,1728,2040
2019-03-27,2040,2040,2020,2020,402,2020
2019-03-28,2020,2035,2020,2035,165,2035
2019-03-29,2030,2030,2030,2030,3578,2030
2019-04-01,2040,2040,2020,2025,3229,2025
2019-04-02,2025,2040,2020,2020,6760,2020
2019-04-03,2020,2030,2020,2030,1046,2030
2019-04-04,2040,2040,2025,2040,11795,2040
2019-04-05,2040,2045,2040,2040,6993,2040
2019-04-10,2055,2060,2040,2055,1168,2055
2019-04-11,2060,2060,2040,2050,3745,2050
2019-04-12,2050,2060,2050,2060,3,2060
2019-04-15,2060,2060,2040,2040,660,2040
2019-04-16,2035,2060,2035,2060,345,2060
2019-04-17,2060,2060,2050,2050,1523,2050
2019-04-18,2050,2055,2050,2055,10142,2055
2019-04-19,2070,2100,2060,2075,21826,2075
2019-04-22,2075,2075,2070,2070,1740,2070
2019-04-23,2075,2095,2075,2095,4881,2095
2019-04-24,2095,2125,2090,2110,3243,2110
2019-04-25,2100,2105,2095,2100,6329,2100
2019-04-26,2110,2110,2100,2100,15613,2100
2019-04-29,2100,2105,2095,2105,4010,2105
2019-04-30,2100,2105,2100,2100,4782,2100
2019-05-02,2090,2100,2090,2100,4579,2100
2019-05-03,2100,2110,2055,2070,23855,2070
2019-05-07,2075,2080,2075,2080,1001,2080
2019-05-08,2055,2100,2055,2100,2681,2100
2019-05-09,2100,2125,2100,2100,33987,2100
2019-05-10,2085,2110,2085,2110,16263,2110
2019-05-13,2110,2140,2085,2120,16766,2120
2019-05-14,2100,2530,2070,2085,1498856,2085
2019-05-15,2085,2130,2060,2075,123400,2075
2019-05-16,2080,2090,2060,2080,44627,2080
2019-05-17,2080,2090,2065,2080,13624,2080
2019-05-20,2095,2120,2070,2070,16341,2070
2019-05-21,2070,2100,2065,2070,28578,2070
2019-05-22,2070,2100,2070,2080,10001,2080
