Date,Open,High,Low,Close,Volume,Adj_Close
2020-12-22,25000,32500,25000,32500,11316601,32500
2020-12-23,37350,37450,24700,26350,16156159,26350
2020-12-24,27300,30500,24150,26800,10735444,26800
2020-12-28,28100,29500,24050,24050,3027602,24050
2020-12-29,23600,31250,22850,31250,16444106,31250
2020-12-30,30950,39250,29350,34250,33011136,34250
2021-01-04,34550,36950,33000,34200,7861347,34200
2021-01-05,35400,41000,34400,35500,17634052,35500
2021-01-06,34900,38500,34300,35300,7332670,35300
2021-01-07,36800,39750,35200,36300,7005642,36300
2021-01-08,35700,36200,32150,32800,1900712,32800
2021-01-11,31550,31700,27850,28050,2065226,28050
2021-01-12,27350,29200,26200,27100,1135798,27100
2021-01-13,29000,31600,27650,27800,4493376,27800
2021-01-14,27800,28750,26750,28600,1052731,28600
2021-01-15,29150,31450,28350,29000,2985658,29000
2021-01-18,30200,31000,28500,28950,1521009,28950
2021-01-19,29500,30200,27550,27700,1333510,27700
2021-01-20,27150,27550,26300,27050,681463,27050
2021-01-21,26950,27000,26000,26050,542085,26050
2021-01-22,25850,26550,25000,25200,569844,25200
2021-01-25,25350,25550,24800,24900,304957,24900
2021-01-26,25050,26550,24900,25550,688398,25550
2021-01-27,25550,26050,24600,24650,307461,24650
2021-01-28,24000,24000,22850,22950,382394,22950
2021-01-29,23450,24650,21700,21700,598103,21700
2021-02-01,21050,21900,20250,21350,372385,21350
