Date,Open,High,Low,Close,Volume,Adj_Close
2021-01-21,38000,49000,35300,36500,8576816,36500
2021-01-22,37500,42500,36200,38550,4249907,38550
2021-01-25,38000,38100,34400,34800,1308026,34800
2021-01-26,35100,35700,32100,32100,1090746,32100
2021-01-27,32350,36500,31900,32400,1637169,32400
2021-01-28,33700,36450,32300,33000,1958976,33000
2021-01-29,32600,32800,26950,28100,900531,28100
2021-02-01,27350,27700,26050,26500,493108,26500
2021-02-02,26500,27000,25150,25350,498257,25350
2021-02-03,25150,26050,25150,25600,346249,25600
2021-02-04,25700,26150,24150,24150,375392,24150
2021-02-05,24150,24150,23650,23950,42518,23950
2021-02-08,23100,24750,22500,24000,570092,24000
2021-02-09,24000,25300,23750,25000,648274,25000
2021-02-10,26550,30150,25950,26000,3113237,26000
2021-02-15,26500,27950,25650,26850,767593,26850
2021-02-16,28450,30500,27150,27600,1575191,27600
2021-02-17,27000,27000,25700,25700,406561,25700
2021-02-18,25600,25700,23650,23650,285146,23650
2021-02-19,23100,24100,22800,23550,172878,23550
2021-02-22,22900,23300,21500,21600,682748,21600
2021-02-23,21850,22450,21400,21450,464231,21450
2021-02-24,21550,21700,20100,20200,331274,20200
2021-02-25,20500,20750,19900,20000,267683,20000
2021-02-26,19600,19750,19050,19200,230217,19200
2021-03-02,19750,20250,19250,19300,157180,19300
2021-03-03,19500,25050,19500,22000,3644590,22000
2021-03-04,21850,22800,21200,21300,964217,21300
2021-03-05,20850,27500,20650,25850,6419559,25850
2021-03-08,26900,28900,25450,25800,2449212,25800
2021-03-09,25350,25950,23350,25100,862949,25100
2021-03-10,26200,26550,23500,23500,860796,23500
2021-03-11,23300,24400,22550,22900,574969,22900
2021-03-12,23000,24050,22600,22700,487998,22700
2021-03-15,22350,22600,21600,21600,278911,21600
2021-03-16,21800,21950,21250,21550,202387,21550
2021-03-17,21750,23200,21400,22700,492374,22700
