,Adj Close,Close,High,Low,Open,Volume,coredata(x)
2018-02-01,12200,12200,12700,12000,12500,15788,0
2018-02-02,12150,12150,12650,12100,12200,6695,0
2018-02-05,13500,13500,14700,12350,12350,94428,0
2018-02-06,13600,13600,13600,12600,13500,24177,0
2018-02-07,13600,13600,14600,13550,14000,39091,0
2018-02-08,13600,13600,14100,13250,13650,15923,0
2018-02-09,13450,13450,13600,13050,13600,10901,0
2018-02-12,13100,13100,13600,13050,13600,5344,0
2018-02-13,13500,13500,13650,13150,13250,6488,0
2018-02-14,14450,14450,14450,13500,13500,26467,0
2018-02-19,14600,14600,15200,14550,14600,33537,0
2018-02-20,15200,15200,15450,14550,14900,22095,0
2018-02-21,14650,14650,15200,14350,15200,12129,0
2018-02-22,14650,14650,14750,14200,14650,9713,0
2018-02-23,14500,14500,15100,14250,14900,14949,0
2018-02-26,15100,15100,15250,14550,15000,21751,0
2018-02-27,15750,15750,15800,14900,15200,16563,0
2018-02-28,15700,15700,16000,15300,15300,12927,0
2018-03-02,16050,16050,16350,15500,15500,16847,0
2018-03-05,16400,16400,16600,15950,16000,13043,0
2018-03-06,16500,16500,16900,16050,16450,17744,0
2018-03-09,15450,15450,15450,13800,14450,22772,0
2018-03-12,15600,15600,15700,14800,15100,11507,0
2018-03-13,15350,15350,15600,15050,15600,11217,0
2018-03-14,15450,15450,15500,14700,15350,13792,0
2018-03-15,14950,14950,15450,14950,15450,16015,0
2018-03-16,14350,14350,15100,14150,14800,23212,0
2018-03-19,14150,14150,14350,13550,14350,29341,0
2018-03-20,14400,14400,14600,13850,14250,10428,0
2018-03-21,14600,14600,14850,13950,14100,16714,0
2018-03-22,14300,14300,14750,14050,14400,6942,0
2018-03-23,13950,13950,14700,13800,14650,9267,0
2018-03-26,13650,13650,14250,13250,14250,4840,0
2018-03-27,13900,13900,14000,13650,14000,3444,0
2018-03-28,14700,14700,15500,13950,14150,23350,0
2018-03-29,14850,14850,15100,14450,14750,4252,0
2018-03-30,14450,14450,14950,14250,14850,6996,0
2018-04-02,14000,14000,14550,13800,14450,17089,0
2018-04-03,13950,13950,14000,13750,13750,2991,0
2018-04-04,14000,14000,14700,13500,13900,12482,0
2018-04-05,14150,14150,14350,13850,14000,3670,0
2018-04-06,13700,13700,14300,13700,14300,5909,0
2018-04-09,13700,13700,14000,13600,13700,2795,0
2018-04-10,13350,13350,13950,13300,13500,5174,0
2018-04-11,13200,13200,13500,12800,13500,11691,0
2018-04-12,13100,13100,13400,12950,13050,8045,0
2018-04-13,13350,13350,13700,12950,12950,5224,0
2018-04-16,14100,14100,14600,13200,13200,25462,0
2018-04-17,14750,14750,15100,14250,14250,34185,0
2018-04-18,14550,14550,15500,14450,15000,10347,0
2018-04-19,15600,15600,16200,14600,14600,54458,0
2018-04-20,17500,17500,18900,15200,15600,245347,0
2018-04-23,19650,19650,21500,17750,18300,212405,0
2018-04-24,18200,18200,20000,17650,20000,69535,0
2018-04-25,19050,19050,19750,17900,18000,63886,0
2018-04-26,18900,18900,19750,18600,19000,41075,0
2018-04-27,17500,17500,18650,17350,18100,69122,0
2018-04-30,19150,19150,20400,18400,18600,197892,0
2018-05-02,21000,21000,21500,19200,19600,170546,0
2018-05-03,19000,19000,21100,18600,21000,57497,0
2018-05-04,19800,19800,20350,18600,18850,51943,0
2018-05-08,18150,18150,19550,17950,19400,34033,0
2018-05-09,18600,18600,18850,17300,18150,25642,0
2018-05-10,24150,24150,24150,19050,19050,151123,0
2018-05-11,28000,28000,30800,25650,27750,717008,0
2018-05-14,28650,28650,31500,28400,31000,398685,0
2018-05-15,29650,29650,30500,27300,28800,140011,0
2018-05-16,26950,26950,28400,25850,26650,133962,0
2018-05-17,27400,27400,27900,26650,26950,25185,0
2018-05-18,27400,27400,28150,26300,27650,63356,0
2018-05-21,28750,28750,29000,26400,27000,61983,0
2018-05-23,27150,27150,29000,26850,29000,81915,0
2018-05-24,26450,26450,27600,25950,27450,61529,0
2018-05-25,22350,22350,23700,22000,22000,105238,0
2018-05-28,27750,27750,28500,25600,26000,173363,0
2018-05-29,26100,26100,27600,25450,27600,69423,0
2018-05-30,26300,26300,26850,25350,26850,55134,0
2018-05-31,27550,27550,31000,26400,26400,179258,0
2018-06-01,27650,27650,31900,26750,31550,224494,0
2018-06-04,26450,26450,29000,26150,28800,89535,0
2018-06-05,26500,26500,26900,25000,26000,63649,0
2018-06-07,25600,25600,27000,25600,26000,32671,0
2018-06-08,25900,25900,30500,25700,29600,335057,0
2018-06-11,27000,27000,27200,25350,25900,68021,0
2018-06-12,25900,25900,27850,24800,27400,60128,0
2018-06-14,22750,22750,25050,22750,24850,64519,0
2018-06-15,22700,22700,24400,22400,22450,38146,0
2018-06-18,22800,22800,23900,22550,22700,41958,0
2018-06-19,22800,22800,23750,22550,23150,23117,0
2018-06-20,24900,24900,26200,22300,22300,84866,0
2018-06-21,22800,22800,25100,22800,24900,44010,0
2018-06-22,21550,21550,23550,21200,23300,33115,0
2018-06-25,21000,21000,21900,20300,20700,28060,0
2018-06-26,20450,20450,21800,20050,20500,38840,0
2018-06-27,17550,17550,21200,17500,21200,130517,0
2018-06-28,17400,17400,18200,17150,17350,41596,0
2018-06-29,18100,18100,18600,17650,18000,61481,0
2018-07-02,16400,16400,18400,15900,18300,42951,0
2018-07-03,16950,16950,17350,16000,17350,25357,0
2018-07-04,16200,16200,17150,16200,16650,14854,0
2018-07-05,16150,16150,16700,15650,16200,16909,0
2018-07-06,17150,17150,18200,16050,16250,48294,0
2018-07-09,15850,15850,16500,15400,16500,30276,0
2018-07-10,16150,16150,16700,15950,16300,17981,0
2018-07-11,16700,16700,17000,15950,16150,27021,0
2018-07-12,16500,16500,17300,16300,16650,19743,0
2018-07-13,17550,17550,17650,16750,17100,13629,0
2018-07-16,17000,17000,18000,16950,17700,13815,0
2018-07-17,16950,16950,17200,16600,17200,5776,0
2018-07-18,15700,15700,17300,15700,17050,24560,0
2018-07-19,15600,15600,15900,15200,15700,23755,0
2018-07-20,16150,16150,16150,15500,15700,15344,0
2018-07-23,14950,14950,16100,14950,15700,12489,0
2018-07-24,16100,16100,16750,15000,15200,29400,0
2018-07-26,17000,17000,17500,16100,16150,40805,0
2018-07-27,16800,16800,17500,16550,17250,14370,0
2018-07-30,16850,16850,17400,16600,16650,8197,0
2018-07-31,16550,16550,17150,16250,17000,9386,0
2018-08-01,16550,16550,16850,16500,16650,6271,0
2018-08-02,16900,16900,17800,16000,16550,46137,0
2018-08-03,17150,17150,17500,16900,16900,6281,0
2017-12-18,12150,12150,12200,11900,12200,2603,0
2017-12-19,12200,12200,12400,11900,12200,1803,0
2017-12-21,12150,12150,12400,12150,12300,1512,0
2017-12-22,12000,12000,12150,11800,11950,2790,0
2017-12-26,11700,11700,12050,11700,12000,2695,0
2017-12-27,11650,11650,12000,11650,11850,588,0
2017-12-28,11950,11950,11950,11600,11600,462,0
2018-01-02,11950,11950,12100,11650,12000,1624,0
2018-01-03,12000,12000,12100,11700,11950,1643,0
2018-01-04,11800,11800,12050,11700,11800,2521,0
2018-01-05,11700,11700,11850,11650,11800,2133,0
2018-01-08,11750,11750,11800,11500,11800,3558,0
2018-01-09,11700,11700,11900,11200,11750,5963,0
2018-01-10,11700,11700,11850,11300,11800,3783,0
2018-01-11,11900,11900,12000,11650,11650,1828,0
2018-01-12,12000,12000,12250,11750,12000,2582,0
2018-01-15,12000,12000,12100,11650,12000,2682,0
2018-01-16,12200,12200,12300,11950,12200,4149,0
2018-01-17,12300,12300,12350,11750,12200,21459,0
2018-01-18,12300,12300,12450,12050,12050,4894,0
2018-01-19,12700,12700,13250,12050,12100,17997,0
2018-01-22,12700,12700,12950,12400,12950,6080,0
2018-01-23,12700,12700,12900,12550,12750,7433,0
2018-01-24,12750,12750,12950,12550,12550,8520,0
2018-01-25,12550,12550,12950,12400,12950,3669,0
2018-01-26,12650,12650,12700,12500,12650,2377,0
2018-01-29,12700,12700,12900,12100,12650,10661,0
2018-01-30,12800,12800,12800,12450,12550,3093,0
2018-01-31,12500,12500,12800,12300,12800,6459,0
2018-08-06,17050,17050,17150,16800,17150,6400,0
