,Adj Close,Close,High,Low,Open,Volume
2018-03-15,2000,2000,2000,1995,2000,5210
2018-03-16,1995,1995,2350,1995,2000,270014
2018-03-19,2020,2020,2025,2000,2020,56663
2018-03-20,2005,2005,2015,2000,2015,8528
2018-03-21,2010,2010,2025,2010,2015,4561
2018-03-22,2005,2005,2020,2000,2010,17597
2018-03-23,2025,2025,2040,2005,2005,3477
2018-03-26,2025,2025,2030,2005,2005,10032
2018-03-27,2020,2020,2020,2005,2005,7168
2018-03-28,2020,2020,2025,2020,2020,3510
2018-03-30,2020,2020,2020,2000,2005,10101
2018-04-02,2000,2000,2020,1995,1995,39533
2018-04-03,2010,2010,2010,2000,2000,324
2018-04-04,2010,2010,2015,2000,2015,10854
2018-04-05,2015,2015,2015,2000,2010,8126
2018-04-06,2010,2010,2025,2000,2000,1554
2018-04-09,2015,2015,2015,2000,2000,1118
2018-04-10,2020,2020,2020,1995,2020,592
2018-04-11,2015,2015,2015,2000,2000,534
2018-04-12,2015,2015,2015,2000,2000,573
2018-04-13,2005,2005,2005,2000,2005,612
2018-04-16,2005,2005,2020,2000,2000,3065
2018-04-17,2005,2005,2015,2000,2015,3971
2018-04-18,2005,2005,2010,2000,2000,350
2018-04-19,2020,2020,2020,2000,2000,308
2018-04-20,2010,2010,2010,2000,2005,2052
2018-04-23,2010,2010,2010,2000,2005,5201
2018-04-24,2010,2010,2015,2005,2015,681
2018-04-25,2005,2005,2005,2000,2005,10445
2018-04-26,2005,2005,2005,2000,2000,3259
2018-04-27,2005,2005,2005,2000,2000,730
2018-04-30,2015,2015,2025,1995,2025,2244
2018-05-02,2005,2005,2005,1995,2000,1223
2018-05-03,2000,2000,2000,1995,2000,1553
2018-05-04,2000,2000,2025,1995,2025,1472
2018-05-09,2000,2000,2000,1990,1990,1485
2018-05-10,2000,2000,2025,1990,2025,394
2018-05-11,2005,2005,2005,1995,1995,46854
2018-05-14,2000,2000,2025,2000,2025,5
2018-05-15,2000,2000,2025,1975,2025,40696
2018-05-16,2000,2000,2015,1990,2015,9972
2018-05-17,2000,2000,2000,1990,1990,660
2018-05-18,2005,2005,2020,1995,2020,47513
2018-05-21,2005,2005,2015,2000,2015,5055
2018-05-23,2000,2000,2005,2000,2005,3361
2018-05-24,2020,2020,2025,2000,2005,6864
2018-05-25,2020,2020,2025,2010,2025,14956
2018-05-28,2025,2025,2025,1995,2025,655
2018-05-29,2030,2030,2030,2000,2030,251
2018-05-30,2035,2035,2050,2030,2030,982
2018-05-31,2040,2040,2040,2000,2030,1332
2018-06-01,2045,2045,2045,2040,2040,501
2018-06-04,2075,2075,2080,2040,2045,15192
2018-06-05,2040,2040,2080,2040,2080,1347
2018-06-07,2060,2060,2070,2035,2070,1117
2018-06-08,2055,2055,2070,2035,2070,6779
2018-06-11,2055,2055,2055,2040,2040,424
2018-06-12,2050,2050,2055,2020,2020,949
2018-06-14,2020,2020,2050,2010,2030,35049
2018-06-15,2020,2020,2050,2015,2020,3790
2018-06-18,2060,2060,2065,2065,2065,1
2018-06-20,2055,2055,2055,2055,2055,10
2018-06-21,2045,2045,2045,2020,2020,2
2018-06-22,2045,2045,2045,2030,2030,490
2018-06-25,2045,2045,2045,2030,2045,299
2018-06-26,2045,2045,2045,2030,2035,1001
2018-06-27,2070,2070,2075,2035,2035,1001
2018-06-28,2075,2075,2075,2030,2075,1848
2018-06-29,2070,2070,2070,2010,2010,36649
2018-07-02,2035,2035,2065,2035,2065,494
2018-07-03,2025,2025,2070,2025,2070,2414
2018-07-04,2065,2065,2070,2030,2065,2729
2018-07-05,2035,2035,2050,2030,2035,2258
2018-07-06,2065,2065,2065,2040,2040,438
2018-07-09,2050,2050,2065,2050,2050,4016
2018-07-10,2065,2065,2065,2035,2065,15117
2018-07-11,2065,2065,2065,2050,2050,953
2018-07-13,2065,2065,2065,2055,2055,2101
2018-07-16,2065,2065,2065,2045,2045,1130
2018-07-17,2065,2065,2065,2045,2045,2807
2018-07-18,2045,2045,2045,2045,2045,1142
2018-07-19,2045,2045,2045,2045,2045,1100
2018-07-20,2035,2035,2035,2030,2035,800
2018-07-23,2080,2080,2090,2040,2090,1622
2018-07-24,2085,2085,2085,2085,2085,1
2018-07-26,2080,2080,2090,2035,2090,3
2018-07-27,2090,2090,2090,2090,2090,1
2018-07-30,2080,2080,2080,2030,2030,3
2018-07-31,2070,2070,2070,2045,2050,2559
2018-08-01,2075,2075,2080,2080,2080,1
2018-08-03,2065,2065,2080,2035,2080,6002
2018-08-07,2065,2065,2075,2010,2075,14102
2017-12-26,1965,1965,1970,1950,1965,16878
2017-12-27,1960,1960,1960,1945,1960,12656
2017-12-28,1965,1965,1965,1950,1950,10256
2018-01-02,1970,1970,1970,1955,1970,1380
2018-01-03,1960,1960,1970,1950,1970,23353
2018-01-04,1975,1975,1975,1950,1960,15748
2018-01-05,1980,1980,2000,1950,1960,21903
2018-01-08,1985,1985,1990,1970,1990,36694
2018-01-09,1985,1985,1985,1975,1975,7433
2018-01-10,1990,1990,2085,1985,1985,53694
2018-01-11,2010,2010,2010,1990,1990,8910
2018-01-12,1990,1990,2000,1960,1985,94163
2018-01-15,1975,1975,1990,1960,1960,66018
2018-01-16,1965,1965,1975,1960,1970,63618
2018-01-17,1965,1965,1965,1960,1960,8372
2018-01-18,1965,1965,1970,1965,1965,13966
2018-01-19,1965,1965,1970,1965,1965,5211
2018-01-22,1970,1970,1975,1955,1965,7941
2018-01-23,1970,1970,1970,1960,1960,5397
2018-01-24,1980,1980,1985,1970,1970,8301
2018-01-25,1975,1975,1980,1975,1975,4346
2018-01-26,1985,1985,1985,1970,1970,6476
2018-01-29,1975,1975,1985,1975,1985,6422
2018-01-30,1970,1970,1985,1960,1975,119629
2018-01-31,1980,1980,1980,1970,1980,5003
2018-08-08,2060,2060,2090,2040,2065,3012
