Date,Open,High,Low,Close,Volume,Adj_Close
2018-01-01,2700,2700,2700,2700,0,0
2018-01-02,2710,2730,2675,2700,382334,0
2018-01-03,2710,2750,2695,2730,485722,0
2018-01-04,2750,2810,2735,2795,666439,0
2018-01-05,2810,2915,2795,2895,811166,0
2018-01-08,2930,2955,2865,2930,907904,0
2018-01-09,2930,2945,2855,2860,515203,0
2018-01-10,2870,2915,2860,2915,609667,0
2018-01-11,2915,2925,2855,2920,475615,0
2018-01-12,2945,3070,2940,3045,2389899,0
2018-01-15,3100,3170,3080,3135,2161617,0
2018-01-16,3135,3140,3050,3085,972374,0
2018-01-17,3085,3120,3035,3070,694307,0
2018-01-18,3120,3260,3095,3145,2525696,0
2018-01-19,3150,3160,3100,3135,567866,0
2018-01-22,3150,3155,3060,3080,864089,0
2018-01-23,3100,3265,3100,3265,2202801,0
2018-01-24,3285,3450,3275,3365,3156761,0
2018-01-25,3395,3525,3390,3480,2584561,0
2018-01-26,3530,3555,3420,3500,1706072,0
2018-01-29,3545,3840,3520,3735,4879228,0
2018-01-30,3660,3820,3635,3695,2528733,0
2018-01-31,3585,3720,3520,3640,2718035,0
2018-02-01,3695,3710,3515,3670,1709944,0
2018-02-02,3645,3670,3470,3500,1702141,0
2018-02-05,3330,3495,3320,3415,2033216,0
2018-02-06,3250,3360,3165,3330,2874979,0
2018-02-07,3445,3445,3250,3250,1932475,0
2018-02-08,3250,3340,3200,3315,1285195,0
2018-02-09,3120,3220,3120,3205,1536530,0
2018-02-12,3245,3270,3165,3220,1206159,0
2018-02-13,3260,3275,2945,3090,1467389,0
2018-02-14,3110,3180,3090,3160,643632,0
2018-02-19,3225,3275,3185,3220,846718,0
2018-02-20,3205,3260,3165,3180,644688,0
2018-02-21,3205,3280,3165,3225,956114,0
2018-02-22,3210,3245,3185,3215,684804,0
2018-02-23,3230,3270,3190,3255,682027,0
2018-02-26,3295,3300,3200,3225,674165,0
2018-02-27,3275,3280,3200,3200,482367,0
2018-02-28,3165,3190,3080,3105,796251,0
2018-03-02,3045,3095,3000,3070,827549,0
2018-03-05,3070,3075,2975,2975,791272,0
