Date,Open,High,Low,Close,Volume,Adj_Close
2020-05-15,945,945,919,937,1764669,937
2020-05-18,935,942,924,926,1261263,926
2020-05-19,926,935,923,928,1236604,928
2020-05-20,932,941,920,937,1351165,937
2020-05-21,944,945,933,936,1198941,936
2020-05-22,940,972,931,960,4888073,960
2020-05-25,981,982,947,950,3577762,950
2020-05-26,950,956,939,945,2256493,945
2020-05-27,996,1040,952,957,20184177,957
2020-05-28,958,995,954,986,11739656,986
2020-05-29,985,985,953,957,3617136,957
2020-06-01,967,1030,954,995,20788326,995
2020-06-02,1000,1030,987,1020,14664035,1020
2020-06-03,1120,1140,1010,1015,22773008,1015
2020-06-04,1030,1175,1020,1095,66713626,1095
2020-06-05,1125,1125,1050,1060,11738959,1060
2020-06-08,1090,1095,1050,1065,6053357,1065
2020-06-09,1065,1105,1050,1055,5546829,1055
2020-06-10,1050,1050,1020,1035,4252899,1035
2020-06-11,1045,1070,1015,1020,4013510,1020
2020-06-12,835,965,830,945,16795356,945
2020-06-15,945,945,849,855,7288114,855
2020-06-16,856,905,856,893,3418524,893
2020-06-17,886,891,858,877,2668711,877
2020-06-18,887,887,855,868,2313671,868
2020-06-19,870,1040,870,933,52885424,933
2020-06-22,784,784,758,761,7045777,761
2020-06-23,775,792,758,765,4640160,765
2020-06-24,766,784,765,766,2792116,766
2020-06-25,759,771,750,762,2475505,762
2020-06-26,764,768,751,757,1952764,757
2020-06-29,756,761,739,742,2076543,742
2020-06-30,751,754,743,748,1694182,748
2020-07-01,752,755,745,748,1776331,748
2020-07-02,733,763,733,762,3740946,762
2020-07-03,810,893,807,820,11445796,820
2020-07-06,820,820,803,810,2042674,810
2020-07-07,805,816,805,812,1627333,812
2020-07-08,817,828,811,813,1249885,813
2020-07-09,811,819,811,815,799360,815
2020-07-10,814,814,791,804,1500625,804
2020-07-13,814,814,795,800,1209381,800
2020-07-14,795,802,794,795,1219800,795
2020-07-15,797,802,795,799,1066270,799
2020-07-16,797,802,790,792,1086997,792
2020-07-17,787,801,785,789,1092534,789
2020-07-20,787,789,775,780,1441629,780
2020-07-21,779,779,764,769,2798680,769
2020-07-22,763,768,750,753,2529438,753
2020-07-23,763,778,749,752,2759957,752
2020-07-24,750,783,745,777,4894663,777
2020-07-27,794,840,781,806,13148531,806
2020-07-28,800,802,775,779,3129150,779
2020-07-29,772,786,772,774,1361078,774
2020-07-30,777,808,755,774,2467501,774
2020-07-31,790,806,781,799,3443656,799
2020-08-03,807,816,782,785,1933726,785
2020-08-04,790,808,768,807,4880175,807
2020-08-05,997,1045,890,890,127480654,890
2020-08-06,886,886,808,810,22474786,810
2020-08-07,812,831,796,797,8656741,797
2020-08-10,793,794,779,782,4406239,782
2020-08-11,785,805,780,800,5208251,800
2020-08-12,787,799,776,782,3039810,782
2020-08-13,782,792,781,783,2215141,783
2020-08-14,779,788,768,772,2674740,772
2020-08-18,772,830,770,801,9725856,801
2020-08-19,800,801,754,780,3837863,780
2020-08-20,780,825,767,788,11732946,788
2020-08-21,801,807,777,779,4042645,779
2020-08-24,790,797,774,775,3110274,775
2020-08-25,775,782,772,778,2390162,778
2020-08-26,675,716,673,703,32325208,703
2020-08-27,703,704,667,670,13387776,670
2020-08-28,657,677,642,668,15691261,668
2020-08-31,669,679,663,667,5858976,667
2020-09-01,667,705,662,682,16469673,682
2020-09-02,687,697,681,685,5702412,685
2020-09-03,687,690,681,690,4178431,690
2020-09-04,661,688,661,680,4902835,680
2020-09-07,684,705,670,700,8039185,700
2020-09-08,703,707,691,694,5485596,694
2020-09-09,685,696,680,686,4008307,686
2020-09-10,689,704,687,689,7057595,689
2020-09-11,689,693,684,688,2979673,688
2020-09-14,692,697,686,695,3061558,695
2020-09-15,695,697,688,690,2826807,690
2020-09-16,692,693,687,688,2685194,688
2020-09-17,687,691,680,681,3030672,681
2020-09-18,684,684,675,678,2455231,678
2020-09-21,673,680,660,660,3760963,660
2020-09-22,655,665,633,635,4567682,635
2020-09-23,636,643,603,621,3325324,621
2020-09-24,619,630,607,607,3184839,607
2020-09-25,608,624,605,618,2228087,618
2020-09-28,623,634,615,624,1439292,624
2020-09-29,625,654,624,650,2856872,650
2020-10-05,652,657,645,647,1662125,647
2020-10-06,651,656,645,652,2090618,652
2020-10-07,652,655,643,652,1380213,652
2020-10-08,659,660,651,652,1309356,652
2020-10-12,652,654,635,638,2801329,638
2020-10-13,641,645,635,638,2115327,638
2020-10-14,640,643,620,626,3273901,626
2020-10-15,626,627,610,612,2256665,612
2020-10-16,612,620,609,614,1822505,614
2020-10-19,614,621,613,615,1062145,615
2020-10-20,620,636,606,623,4782882,623
2020-10-21,626,655,622,629,5065787,629
2020-10-22,632,635,624,628,1206738,628
2020-10-23,628,644,627,630,3111271,630
2020-10-26,631,638,619,620,2368859,620
2020-10-27,615,626,605,614,1645551,614
2020-10-28,611,623,610,618,1117067,618
2020-10-29,607,620,607,616,1525903,616
2020-10-30,616,620,612,612,1167736,612
2020-11-02,614,620,611,616,1148614,616
