Date,Adj Close,Close,High,Low,Open,Volume
2017-03-17,780,780,835,773,833,6359352
2018-02-27,135,135,145,130,145,55516524
2018-02-28,98,98,139,95,138,45369153
2018-03-02,74,74,90,70,86,43146242
2018-03-05,62,62,74,61,68,41961027
2018-03-06,40,40,56,40,56,38088665
2018-03-08,32,32,44,30,33,57584616
