Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,4497,4497,4497,2248,2845,24958
2000-01-05,5169,5169,4888,2584,3270,151792
2000-01-06,5377,5645,4558,2352,2976,140705
2000-01-07,4399,5364,4399,2493,3154,97867
2000-01-10,5377,5474,5132,2670,3378,114110
2000-01-11,5340,5377,4643,2431,3077,68982
2000-01-12,4863,4863,4350,2187,2768,66609
2000-01-13,4277,4521,4155,2224,2814,45906
2000-01-14,4766,4766,4301,2156,2729,33100
2000-01-17,4081,4521,4081,2199,2783,47543
2000-01-18,4277,4472,4106,2071,2621,37396
2000-01-19,4032,4155,3861,1930,2443,30645
2000-01-20,3690,3947,3666,1894,2396,41119
2000-01-21,3666,3983,3666,1894,2396,37191
2000-01-24,3690,4032,3690,1869,2366,32118
2000-01-25,3739,3739,3592,1808,2288,43451
2000-01-26,3617,3763,3617,1881,2381,31422
2000-01-27,3666,4081,3666,1991,2520,47624
2000-01-28,3983,4045,3763,1924,2435,46315
2000-01-31,3715,4032,3702,1930,2443,56789
2000-02-01,3837,4436,3837,2150,2721,134486
2000-02-02,4326,4546,4179,2199,2783,93285
2000-02-03,4423,4643,4301,2236,2829,73932
2000-02-04,4472,4472,4472,2236,2829,0
2000-02-07,4448,4753,4399,2205,2791,81706
2000-02-08,4448,4448,4167,2083,2636,46029
2000-02-09,4008,4301,4008,2040,2582,46929
2000-02-10,4167,4179,3983,1998,2528,47420
2000-02-11,4155,4252,3959,2114,2675,63908
2000-02-14,4839,4839,4032,2108,2667,57362
2000-02-15,4216,4423,3910,1967,2489,48402
2000-02-16,3935,4032,3715,1967,2489,16775
2000-02-17,3495,3910,3495,1869,2366,27617
2000-02-18,3507,3666,3421,1820,2304,43451
2000-02-21,3421,3543,3299,1649,2087,38705
2000-02-22,3189,3299,3177,1600,2025,20948
2000-02-23,3226,3678,3226,1820,2304,86657
2000-02-24,3666,3666,3299,1710,2164,35105
2000-02-25,3421,3886,3201,1735,2195,45088
2000-02-28,3372,3641,3348,1674,2118,41937
2000-02-29,3397,3543,3397,1747,2211,17880
2000-03-01,3495,3495,3495,1747,2211,0
2000-03-02,3421,3519,3275,1692,2141,33795
2000-03-03,3360,3372,3250,1625,2056,28395
2000-03-06,3275,3666,3275,1710,2164,62885
2000-03-07,3397,3739,3348,1833,2319,64972
2000-03-08,3788,4155,3715,1979,2505,60881
2000-03-09,3837,4081,3702,2010,2543,59530
2000-03-10,4032,4155,3739,1894,2396,65749
2000-03-13,3788,4350,3690,2175,2752,151056
2000-03-14,4766,4766,4203,2211,2799,158052
2000-03-15,4423,4497,3910,1955,2474,83547
2000-03-16,3690,4032,3690,1894,2396,53025
2000-03-17,3910,4032,3788,1918,2427,47706
2000-03-20,3886,3910,3556,1820,2304,29295
2000-03-21,3470,3812,3446,1723,2180,44433
2000-03-22,3470,3641,3470,1759,2226,24344
2000-03-23,3495,3543,3421,1710,2164,30890
2000-03-24,3446,3543,3421,1729,2188,35432
2000-03-27,3434,3641,3348,1820,2304,41896
2000-03-28,3690,3690,3470,1735,2195,27208
2000-03-29,3482,3543,3299,1710,2164,39401
2000-03-30,3348,3397,3177,1637,2072,14934
2000-03-31,3226,3495,3226,1686,2134,29581
2000-04-03,3299,3385,3250,1649,2087,13706
2000-04-04,3226,3397,3152,1637,2072,22012
2000-04-05,3275,3275,3275,1637,2072,0
2000-04-06,3152,3275,3055,1527,1933,20989
2000-04-07,3067,3201,3067,1588,2010,16407
2000-04-10,3177,3421,3055,1607,2033,29213
2000-04-11,3238,3250,3079,1588,2010,11415
2000-04-12,3055,3348,3055,1600,2025,18862
2000-04-13,3201,3201,3201,1600,2025,0
2000-04-14,3226,3372,3177,1686,2134,32241
2000-04-17,3116,3299,2884,1466,1855,29458
