,Adj Close,Close,High,Low,Open,Volume
2016-03-04,1945,1945,2000,1945,1970,392252
2016-03-07,1955,1955,1990,1950,1950,45055
2016-03-08,2015,2015,2480,1980,1980,216093
2016-03-09,2000,2000,2040,1955,2015,86425
2016-03-10,2015,2015,2020,1970,1970,10530
2016-03-11,2005,2005,2040,1965,2040,11819
2016-03-14,1985,1985,2020,1975,1975,16111
2016-03-15,2010,2010,2010,1980,1985,3618
2016-03-16,1990,1990,2010,1990,2010,5010
2016-03-17,1995,1995,2015,1990,1990,7195
2016-03-18,2000,2000,2000,1950,1950,15022
2016-03-21,1965,1965,2000,1965,2000,4019
2016-03-22,1980,1980,2000,1960,1965,2695
2016-03-23,1955,1955,1980,1950,1980,3544
2016-03-24,1985,1985,1995,1985,1995,1212
2016-03-25,1990,1990,1995,1975,1980,3961
2016-03-28,1990,1990,1990,1980,1990,3014
2016-03-29,1975,1975,2100,1975,2100,2411
2016-03-30,1975,1975,2040,1975,2040,1124
2016-03-31,1980,1980,1980,1975,1975,2566
2016-04-01,2000,2000,2020,2000,2010,14205
2016-04-04,1970,1970,2020,1960,2015,6676
2016-04-05,2000,2000,2005,1990,1995,6254
2016-04-06,1995,1995,2000,1960,2000,4665
2016-04-07,1990,1990,1990,1970,1975,252
2016-04-08,1995,1995,2000,1970,1990,2837
2016-04-11,2000,2000,2000,1970,1990,10
2016-04-12,2000,2000,2000,1970,2000,2962
2016-04-14,1990,1990,2000,1975,2000,80208
2016-04-15,1970,1970,1995,1970,1990,1000
2016-04-18,1970,1970,1970,1955,1970,802
2016-04-19,1990,1990,1995,1965,1965,2423
2016-04-20,1980,1980,1990,1970,1985,1908
2016-04-21,2000,2000,2000,1930,1980,5345
2016-04-22,1990,1990,2000,1985,2000,6002
2016-04-25,1955,1955,2000,1950,2000,7867
2016-04-26,1955,1955,1995,1950,1970,14848
2016-04-27,1970,1970,1995,1955,1955,5946
2016-04-28,1990,1990,1990,1970,1970,2974
2016-04-29,1980,1980,1990,1960,1990,3446
2016-05-02,1980,1980,1990,1945,1980,7900
2016-05-03,1990,1990,2130,1975,1990,18103
2016-05-04,1990,1990,2010,1990,1990,12172
2016-05-09,1990,1990,1990,1955,1990,5571
2016-05-10,1965,1965,1995,1945,1950,7983
2016-05-11,1975,1975,1975,1965,1975,2962
2016-05-12,1975,1975,1975,1975,1975,1166
2016-05-13,1985,1985,1985,1955,1975,453
2016-05-16,2005,2005,2010,1970,1980,14196
2016-05-17,2005,2005,2005,1980,1980,4309
2016-05-18,2000,2000,2000,2000,2000,1
2016-05-19,2000,2000,2030,2000,2030,2012
2016-05-20,2005,2005,2005,1980,1980,20
2016-05-23,2000,2000,2000,2000,2000,4501
2016-05-24,1985,1985,2195,1980,2195,71
2016-05-25,1955,1955,1990,1955,1990,1273
2016-05-26,1985,1985,1995,1970,1975,9
2016-05-27,1980,1980,1985,1980,1985,3
2016-05-30,1955,1955,1980,1935,1980,30181
2016-05-31,1960,1960,1975,1950,1975,19
2016-06-01,1950,1950,1955,1935,1955,1606
2016-06-02,1950,1950,1960,1950,1960,926
2016-06-03,1940,1940,1950,1940,1950,1110
2016-06-07,1945,1945,1950,1920,1940,3872
2016-06-08,1950,1950,1950,1945,1950,1511
2016-06-09,1935,1935,1950,1935,1950,1100
2016-06-10,1970,1970,1970,1945,1945,781
2016-06-13,1975,1975,2000,1970,2000,103
2016-06-14,1970,1970,1970,1910,1950,5621
2016-06-15,1930,1930,1970,1920,1970,5393
2016-06-16,1955,1955,1955,1930,1950,1622
2016-06-17,1930,1930,1940,1910,1910,45306
2016-06-20,1935,1935,1935,1930,1930,763
2016-06-21,1940,1940,1940,1935,1935,8402
2016-06-22,1955,1955,1955,1940,1940,20259
2016-06-23,1940,1940,1950,1940,1950,515
2016-06-24,1955,1955,1960,1935,1960,11052
2016-06-27,1955,1955,1955,1930,1940,8188
2016-06-28,1955,1955,1955,1950,1950,999
2016-06-29,1955,1955,1955,1940,1940,5134
2016-06-30,1995,1995,1995,1955,1955,11018
2016-07-01,1995,1995,1995,1995,1995,3668
2016-07-04,1975,1975,2150,1960,2000,26473
2016-07-05,1980,1980,1985,1980,1985,3635
2016-07-06,1985,1985,1985,1975,1980,178
2016-07-07,1985,1985,1990,1975,1980,13645
2016-07-08,1995,1995,2000,1975,1980,7022
2016-07-11,1990,1990,2000,1980,2000,47512
2016-07-12,2000,2000,2010,1980,1990,52728
2016-07-13,2005,2005,2005,1990,2000,27526
2016-07-14,2005,2005,2005,1990,2005,7225
2016-07-15,2005,2005,2005,1995,2000,9536
2016-07-18,2005,2005,2005,1990,1990,1296
2016-07-19,2000,2000,2005,1990,2005,1002
2016-07-20,2000,2000,2000,1995,1995,1001
2016-07-21,1995,1995,2000,1990,2000,27
2016-07-22,2000,2000,2000,1980,1990,8437
2016-07-25,2000,2000,2000,1990,1990,2
2016-07-26,1990,1990,1990,1990,1990,13
2016-07-27,1970,1970,2000,1960,2000,7999
2016-07-28,1975,1975,1985,1975,1980,1569
2016-07-29,1990,1990,1990,1980,1990,2090
2016-08-01,1995,1995,1995,1990,1990,519
2016-08-02,1995,1995,1995,1985,1995,2166
2016-08-03,1995,1995,1995,1970,1990,22907
2016-08-04,1990,1990,1995,1975,1990,1097
2016-08-05,1990,1990,1990,1980,1980,5265
2016-08-08,1985,1985,1990,1975,1990,1097
2016-08-09,1980,1980,1985,1975,1985,2890
2016-08-10,1985,1985,1985,1970,1980,5001
2016-08-11,1985,1985,1995,1970,1990,12005
2016-08-12,1985,1985,1985,1970,1985,11275
2016-08-16,1985,1985,1990,1965,1985,12013
2016-08-17,1980,1980,1985,1960,1970,22944
2016-08-18,1960,1960,1990,1950,1980,22805
2016-08-19,1955,1955,1965,1955,1960,13206
2016-08-22,1985,1985,1985,1955,1955,13316
2016-08-23,1955,1955,1980,1955,1975,8570
2016-08-24,1960,1960,1975,1960,1960,8413
2016-08-25,1975,1975,1985,1955,1960,48656
2016-08-26,1960,1960,1985,1950,1975,88520
2016-08-29,1960,1960,1970,1955,1965,18079
2016-08-30,1980,1980,1990,1965,1990,23906
2016-08-31,1985,1985,1985,1970,1975,35656
2016-09-01,1985,1985,1985,1975,1980,47245
2016-09-02,1985,1985,1990,1985,1985,18840
2016-09-05,1985,1985,1990,1985,1990,5503
2016-09-06,1985,1985,1990,1980,1990,5666
